Keyword,Cleaned_Link,Relevance
Amhara Fano forces,https://www.nytimes.com/2021/06/29/world/africa/Tigray-Ethiopia.html,
Eritrea,https://www.nytimes.com/2021/12/15/world/africa/ethiopia-abiy-ahmed-nobel-war.html,
Amhara Region,https://www.nytimes.com/2020/12/09/world/africa/ethiopia-tigray-sudan.html,
TPLF and Tigray Defense Forces,https://www.nytimes.com/2021/07/11/world/africa/tigray-guerrilla-fighers-ethiopia-army.html,
Attack on Civilians,https://www.nytimes.com/2022/07/11/world/europe/ukraine-civilian-casualties.html,
TPLF and Tigray Defense Forces,https://www.nytimes.com/2022/11/02/world/africa/ethiopia-tigray-civil-war.html,
Ethiopia,https://www.nytimes.com/2021/07/11/world/africa/tigray-guerrilla-fighers-ethiopia-army.html,
Amhara Fano forces,https://www.nytimes.com/2022/07/06/world/africa/ethiopia-ethnic-massacres.html,
Tigray,https://www.nytimes.com/2022/03/24/world/africa/ethiopia-tigray-conflict-truce.html,
Eritrea,https://www.nytimes.com/interactive/2020/12/07/learning/Eritrea-Geography-Quiz.html,
Tigray,https://www.nytimes.com/2021/06/29/world/africa/Tigray-Ethiopia.html,
Abiy Ahmed,https://www.nytimes.com/2021/12/15/world/africa/ethiopia-abiy-ahmed-nobel-war.html,
Pretoria Peace Agreement,https://www.nytimes.com/2020/11/12/world/nobel-peace-prize-list.html,
TPLF,https://www.nytimes.com/live/2021/06/29/world/tigray-ethiopia/how-the-rebels-turned-the-tide-of-the-war,
Eritrea,https://www.nytimes.com/2021/03/26/world/africa/eritrea-troops-tigray-ethiopia.html,
Tigray,https://www.nytimes.com/2021/06/18/podcasts/the-daily-newsletter-war-tigray-ethiopia.html,
Ethiopia,https://www.nytimes.com/2021/06/21/world/africa/Ethiopia-election-Abiy-Ahmed.html,
Amhara,https://www.nytimes.com/2021/11/03/world/africa/ethiopia-war-un-report.html,
Abiy Ahmed,https://www.nytimes.com/2021/06/21/opinion/ethiopia-election-tigray-abiy.html,
War,https://www.nytimes.com/2022/11/02/world/africa/ethiopia-tigray-civil-war.html,
Eritrean Troops,https://www.nytimes.com/2021/04/15/world/africa/ethiopia-eritrea-tigray.html,
Amhara,https://www.nytimes.com/2022/11/03/world/africa/ethiopia-tigray-civil-war-agreement.html,
Amhara Region,https://www.nytimes.com/2021/06/29/world/africa/Tigray-Ethiopia.html,
Eritrean Troops,https://www.nytimes.com/2021/06/29/world/africa/Tigray-Ethiopia.html,
Peace Talk,https://www.nytimes.com/live/2022/10/07/world/nobel-peace-prize/who-won-the-2021-nobel-peace-prize,
Eritrean Troops,https://www.nytimes.com/2021/03/26/world/africa/eritrea-troops-tigray-ethiopia.html,
Ethiopia,https://www.nytimes.com/2021/06/29/world/africa/Tigray-Ethiopia.html,
Amhara,https://www.nytimes.com/2021/12/15/world/africa/ethiopia-abiy-ahmed-nobel-war.html,
Eritrea,https://www.nytimes.com/2021/06/29/world/africa/ethiopia-eritrea-tigray-conflict.html,
Pretoria Peace Agreement,https://www.nytimes.com/live/2022/10/07/world/nobel-peace-prize/its-the-second-peace-prize-in-two-years-for-russians,
Ethiopia,https://www.nytimes.com/2022/03/17/world/africa/ethiopia-tigray-aid-workers-killed.html,
